Card ID,Epic,Title,Description,Sprint,Category,Priority,Status,Owner,Story Points,Acceptance Criteria,Dependencies,Deliverable
GAI-001,Project Vision,Finalize project vision and naming,Define the project as Global AI Conversation Analytics Platform with subtitle What the World Asks AI.,Sprint 0,Planning,High,To Do,Product Lead,2,"README includes project vision, capstone value, and core research question.",None,Vision section
GAI-002,Research Scope,Document core questions,"Add the research questions about common topics, country differences, language differences, trends, sentiment, wow insights, and storytelling.",Sprint 0,Planning,High,To Do,Research Lead,2,All core questions are listed in README and reflected in dashboard scope.,GAI-001,Core questions
GAI-003,User Research,Define target users,"Document researcher, consulting firm, and product team personas with goals.",Sprint 0,Product,High,To Do,Product Lead,3,All three target users and goals are included.,GAI-001,Target user personas
GAI-004,Repo Setup,Create project repository structure,"Create folders for data, SQL, source code, dashboard, tests, docs, and assets.",Sprint 0,DevOps,High,To Do,DevOps Lead,3,Folder structure matches README; placeholder files preserve empty folders.,None,Repo scaffold
GAI-005,Repo Setup,Exclude large data files,"Create .gitignore rules for raw data, Parquet, JSONL, database files, audio outputs, and secrets.",Sprint 0,DevOps,High,To Do,DevOps Lead,2,Large source files and .env are ignored; .gitkeep placeholders remain tracked.,GAI-004,.gitignore
GAI-006,Environment,Create environment template,"Create .env.example for database, Hugging Face, translation, ElevenLabs, and optional LLM keys.",Sprint 0,DevOps,Medium,To Do,Backend Lead,2,Template exists with no real secrets.,GAI-004,.env.example
GAI-007,Ethics,Create privacy and ethics policy,"Define rules for sensitive fields, raw chats, redaction, toxic content, translation, LLM, and voice safety.",Sprint 0,Ethics,High,To Do,Data Lead,5,"Policy blocks sensitive raw data from dashboard, translation, LLM, and voice APIs.",GAI-002,Ethics policy
GAI-008,Database,Design PostgreSQL schema,"Create tables for countries, conversations, turns, translations, topic classifications, sentiment, trends, question patterns, voice briefs, and AI extractions.",Sprint 1,Database,High,To Do,Backend Lead,8,Schema runs successfully; keys and relationships support dashboard queries.,GAI-004,SQL schema
GAI-009,Database,Add database indexes,"Create indexes for country, language, topic, time period, sentiment, safe dashboard, question ranks, and JSONB AI extraction data.",Sprint 1,Database,Medium,To Do,Backend Lead,3,Indexes exist and common filters are covered.,GAI-008,Index SQL
GAI-010,Database,Seed target countries,"Seed USA, Canada, United Kingdom, China, Russia, France, Brazil, and Japan with ISO codes and default languages.",Sprint 1,Database,Medium,To Do,Backend Lead,2,All target countries exist in countries table.,GAI-008,Seed SQL
GAI-011,Ingestion,Build CSV ingestion,Read country CSV files and validate required fields.,Sprint 1,ETL,High,To Do,Data Engineer,5,CSV files load; invalid rows are logged; clean records are returned.,GAI-008,CSV ingestion script
GAI-012,Ingestion,Build JSON ingestion,Read JSON or JSONL conversation files and map records to the common schema.,Sprint 1,ETL,High,To Do,Data Engineer,5,JSON records load and map to database fields.,GAI-008,JSON ingestion script
GAI-013,Ingestion,Build Parquet ingestion,Read Parquet files for large WildChat-style extracts.,Sprint 1,ETL,High,To Do,Data Engineer,5,Parquet records load efficiently and support row limits.,GAI-008,Parquet ingestion script
GAI-014,Ingestion,Create ingestion format router,"Build one ingest.py function that routes CSV, JSON, and Parquet based on file extension.",Sprint 1,ETL,Medium,To Do,Data Engineer,3,One command can ingest supported formats.,"GAI-011,GAI-012,GAI-013",Format router
GAI-015,Ingestion,Load data into PostgreSQL,Insert cleaned ingestion output into PostgreSQL tables.,Sprint 1,ETL,High,To Do,Data Engineer,8,Rows are loaded with country relationships and safe defaults.,GAI-014,Database load step
GAI-016,Cleaning,Normalize countries,Standardize country names and map them to ISO codes.,Sprint 2,Data Cleaning,High,To Do,Data Engineer,5,USA/US/United States and UK/Great Britain/United Kingdom normalize correctly.,GAI-010,Country normalization
GAI-017,Cleaning,Normalize languages,Standardize language names and codes.,Sprint 2,Data Cleaning,High,To Do,Data Engineer,5,Language codes are consistent and missing values are handled.,GAI-015,Language normalization
GAI-018,Cleaning,Normalize timestamps,Parse timestamps and create day/month time buckets.,Sprint 2,Data Cleaning,High,To Do,Data Engineer,5,"created_at, time_period_day, and time_period_month are populated where available.",GAI-015,Timestamp normalization
GAI-019,Cleaning,Clean message formatting,"Remove broken formatting, extra whitespace, control characters, and unusable messages.",Sprint 2,Data Cleaning,Medium,To Do,Data Engineer,3,Cleaned messages are readable and empty content is removed.,GAI-015,Message cleaning
GAI-020,Cleaning,Handle missing values,"Create rules for missing country, language, timestamp, model, and text fields.",Sprint 2,Data Cleaning,High,To Do,Data Engineer,3,"Missing values are filled, flagged, or excluded according to documented rules.",GAI-015,Missing value policy
GAI-021,Cleaning,Redact personal information,"Mask emails, phone numbers, addresses, account numbers, and other PII-like patterns.",Sprint 2,Ethics,High,To Do,Data Lead,8,PII-like fields are masked before dashboard display.,GAI-007,Redaction module
GAI-022,Cleaning,Create safe dashboard filter,Mark records as safe or unsafe for public dashboard display.,Sprint 2,Ethics,High,To Do,Data Lead,5,Unsafe/toxic/private records are excluded from public views.,GAI-021,Safety filter
GAI-023,Enrichment,Detect language,Add language detection for missing or uncertain language metadata.,Sprint 3,NLP,High,To Do,NLP Lead,5,Detected language is stored and confidence is logged.,GAI-017,Language detection module
GAI-024,Enrichment,Map countries to regions,Add region and ISO code mapping for geospatial analysis.,Sprint 3,Geospatial,Medium,To Do,Data Engineer,3,Countries map to ISO codes and regions for maps.,GAI-016,Country mapping
GAI-025,Enrichment,Create time period grouping,"Group conversations by day, week, month, and quarter for trend analysis.",Sprint 3,Analytics,Medium,To Do,Data Analyst,3,Trend-ready time fields exist and are queryable.,GAI-018,Time grouping
GAI-026,Topic Classification,Define topic taxonomy,"Create categories: Technology, Education, Programming, Business, Finance, Health, Entertainment, Science, Travel, Lifestyle, and more.",Sprint 3,NLP,High,To Do,Research Lead,3,Taxonomy is documented and dashboard-ready.,GAI-002,Topic taxonomy
GAI-027,Topic Classification,Build topic classifier MVP,Classify conversations into topic categories with confidence scores.,Sprint 3,NLP,High,To Do,NLP Lead,8,Records receive topic_category and topic_confidence.,GAI-026,Topic classifier
GAI-028,Sentiment,Build sentiment analysis module,"Classify cleaned summaries as positive, neutral, or negative.",Sprint 3,NLP,High,To Do,NLP Lead,8,Sentiment label and score are stored in sentiment_scores table.,GAI-022,Sentiment module
GAI-029,Question Patterns,Create Global Curiosity Index logic,Normalize repeated questions and rank them globally and by country.,Sprint 3,Analytics,High,To Do,Data Analyst,8,Top repeated questions are ranked with global and country scores.,GAI-027,Curiosity index metrics
GAI-030,Trends,Create trend metrics,Calculate topic growth and decline over time.,Sprint 3,Analytics,High,To Do,Data Analyst,8,"trend_metrics table shows count, previous count, growth rate, and rank.","GAI-025,GAI-027",Trend metrics
GAI-031,Translation,Choose translation provider,"Choose Google Cloud Translation, DeepL, Hugging Face, or LibreTranslate for MVP.",Sprint 4,Translation,High,To Do,Backend Lead,3,"Decision includes cost, setup, language coverage, and fallback strategy.",GAI-007,Translation provider decision
GAI-032,Translation,Translate non-English to English,Build translation function for advanced analysis in English.,Sprint 4,Translation,High,To Do,Backend Lead,8,Non-English safe text translates to English and stores output.,GAI-031,English translation
GAI-033,Translation,Translate English back to local languages,Build reverse translation for dashboard accessibility.,Sprint 4,Translation,Medium,To Do,Backend Lead,5,English summaries can translate to selected local language.,GAI-032,Local translation
GAI-034,Translation,Build Translation Lab page,"Create dashboard page for original text, English translation, and local-language translation.",Sprint 4,Dashboard,High,To Do,Dashboard Lead,8,Users can select safe summaries and view translations.,"GAI-032,GAI-033",Translation Lab
GAI-035,AI Extraction,Build AI topic extraction prompt,Use the prompt: Analyze these conversations and identify the five most important topics being discussed.,Sprint 4,LLM,High,To Do,NLP Lead,3,"Prompt returns top 5 topics, summaries, insights, and emerging trends.",GAI-027,LLM prompt
GAI-036,AI Extraction,Create AI topic extraction workflow,Allow user-selected subsets of safe conversations to be summarized by an LLM.,Sprint 4,LLM,High,To Do,NLP Lead,8,Subset filters work and AI output is stored in ai_topic_extractions.,"GAI-035,GAI-022",AI extraction workflow
GAI-037,AI Extraction,Add wow factor insight generation,Generate surprising patterns and story angles from AI extraction outputs.,Sprint 4,LLM,Medium,To Do,Research Lead,5,AI output includes wow factor insights and presentation story angles.,GAI-036,Wow factor extraction
GAI-038,Dashboard,Create Streamlit app shell,Build multipage dashboard structure and shared sidebar filters.,Sprint 5,Dashboard,High,To Do,Dashboard Lead,5,All dashboard pages are registered and app starts locally.,GAI-015,Streamlit shell
GAI-039,Dashboard,Connect dashboard to PostgreSQL,Use environment variables or Streamlit secrets for database access.,Sprint 5,Dashboard,High,To Do,Dashboard Lead,5,Dashboard queries PostgreSQL securely.,GAI-038,Database connection
GAI-040,Dashboard,Build Global Overview page,"Show total conversations, countries, languages, most discussed topics, trending topics, and sentiment summary.",Sprint 5,Dashboard,High,To Do,Dashboard Lead,8,Overview answers the main project question at a glance.,"GAI-039,GAI-030",Global Overview
GAI-041,Dashboard,Build Interactive World Map,"Create map with hover, clickable countries, color intensity by volume/topic/sentiment, and dashboard updates.",Sprint 5,Maps,High,To Do,Dashboard Lead,8,Clicking/selecting a country updates dashboard components.,"GAI-024,GAI-039",World Map
GAI-042,Dashboard,Build Country Analysis page,"Show top topics, frequency, sentiment, common questions, volume, and language distribution by country.",Sprint 5,Dashboard,High,To Do,Dashboard Lead,8,Country selection updates all visuals and tables.,"GAI-027,GAI-028,GAI-029",Country Analysis
GAI-043,Dashboard,Build Language Analysis page,"Show conversation percentage by language, top topics by language, and cross-language comparisons.",Sprint 5,Dashboard,High,To Do,Dashboard Lead,8,Language filters update charts and comparison views.,"GAI-023,GAI-027",Language Analysis
GAI-044,Dashboard,Build Topic Explorer page,"Show most discussed topics, topic growth trends, comparisons, and related topics.",Sprint 5,Dashboard,High,To Do,Dashboard Lead,8,Users can explore a topic globally and by country/language.,"GAI-027,GAI-030",Topic Explorer
GAI-045,Dashboard,Build Sentiment Dashboard,"Show positive, neutral, and negative sentiment by country, language, topic, and time period.",Sprint 5,Dashboard,High,To Do,Dashboard Lead,8,Sentiment charts and filters work across all requested dimensions.,GAI-028,Sentiment Dashboard
GAI-046,Wow Factor,Build Global Curiosity Index page component,Display most frequently asked questions globally and by country.,Sprint 6,Analytics,High,To Do,Data Analyst,5,"Ranked questions display with counts, topic, and country/language filters.",GAI-029,Curiosity Index
GAI-047,Wow Factor,Build Trend Timeline,Create line charts showing topics rising and falling over time.,Sprint 6,Analytics,High,To Do,Data Analyst,5,Users can select topics and view trend timelines.,GAI-030,Trend Timeline
GAI-048,Wow Factor,Build Global Question Heatmap,Visualize where specific topics are most popular by country.,Sprint 6,Maps,High,To Do,Dashboard Lead,5,Heatmap updates by topic and displays country intensity.,"GAI-041,GAI-030",Question Heatmap
GAI-049,Wow Factor,Build Dynamic Topic Cloud,Create interactive word cloud updated by country and language selections.,Sprint 6,Visualization,Medium,To Do,Dashboard Lead,5,Larger words indicate higher frequency; filters update cloud.,GAI-027,Topic Cloud
GAI-050,Ask Dataset,Build natural-language query parser,Parse user questions into metric queries over aggregated data.,Sprint 6,AI Assistant,High,To Do,Backend Lead,8,"System can understand questions about top countries, growing topics, and language comparisons.","GAI-030,GAI-029",Query parser
GAI-051,Ask Dataset,Build Ask the Dataset page,Create page where users ask natural-language analytics questions and receive aggregated answers.,Sprint 6,Dashboard,High,To Do,Dashboard Lead,8,Page answers from aggregated data and does not expose raw private chats.,GAI-050,Ask Dataset page
GAI-052,Visualizations,Create treemap visualization,Add treemap for topic hierarchy and subtopics.,Sprint 6,Visualization,Medium,To Do,Dashboard Lead,3,Treemap shows topic/subtopic share clearly.,GAI-027,Treemap
GAI-053,Visualizations,Create country comparison charts,"Build side-by-side charts comparing countries by topic, sentiment, language, and volume.",Sprint 6,Visualization,High,To Do,Dashboard Lead,5,Users can compare at least two countries.,"GAI-042,GAI-043,GAI-045",Country comparison charts
GAI-054,Voice,Set up ElevenLabs integration,Create a secure ElevenLabs client using environment variables.,Sprint 7,AI Voice,High,To Do,Backend Lead,5,API key is loaded securely; voice generation can be tested or mocked.,GAI-006,ElevenLabs client
GAI-055,Voice,Generate briefing scripts,"Create country, topic, and global summary scripts from safe aggregated insights.",Sprint 7,AI Voice,High,To Do,Research Lead,5,Scripts include top insights and avoid raw sensitive content.,"GAI-040,GAI-042",Briefing script generator
GAI-056,Voice,Convert briefing scripts to audio,Send safe summary scripts to ElevenLabs and store audio metadata.,Sprint 7,AI Voice,High,To Do,Backend Lead,8,Audio is generated or mocked and saved in assets/audio with metadata in PostgreSQL.,"GAI-054,GAI-055",Audio generation
GAI-057,Voice,Build Voice Briefing Studio,"Create dashboard page for selecting country/topic/language, generating a script, and playing audio.",Sprint 7,Dashboard,High,To Do,Dashboard Lead,8,Users can create and play safe AI voice briefings.,GAI-056,Voice Briefing Studio
GAI-058,Voice,Add multilingual voice option,Allow voice briefings to use translated summaries where supported.,Sprint 7,AI Voice,Medium,To Do,Backend Lead,5,Briefings can be generated in English or a selected local language when supported.,"GAI-033,GAI-056",Multilingual voice
GAI-059,Voice Safety,Block raw chat voice generation,Add a safety gate that only allows summarized aggregate insights to be voiced.,Sprint 7,Ethics,High,To Do,Data Lead,5,Raw individual chat text cannot be sent to voice API.,"GAI-007,GAI-056",Voice safety gate
GAI-060,Testing,Test ingestion formats,"Write tests for CSV, JSON, and Parquet ingestion.",Sprint 8,Testing,High,To Do,QA Lead,5,Each supported format has a passing test.,GAI-014,Ingestion tests
GAI-061,Testing,Test cleaning and redaction,"Write tests for country/language/timestamp normalization, missing values, and PII redaction.",Sprint 8,Testing,High,To Do,QA Lead,8,Tests cover normal and bad input cases.,"GAI-016,GAI-017,GAI-018,GAI-021",Cleaning tests
GAI-062,Testing,Test topic and sentiment modules,Write tests for topic classification and sentiment labels.,Sprint 8,Testing,Medium,To Do,QA Lead,5,Known samples return expected topics and sentiment labels.,"GAI-027,GAI-028",NLP tests
GAI-063,Testing,Create dashboard QA checklist,Create manual checklist for all dashboard pages and filters.,Sprint 8,Testing,Medium,To Do,QA Lead,3,"Checklist covers map, charts, translation, voice, and Ask Dataset.",GAI-057,Dashboard checklist
GAI-064,Deployment,Create deployment guide,Document how to deploy Streamlit and PostgreSQL with secrets.,Sprint 8,Deployment,High,To Do,DevOps Lead,5,Deployment guide is clear enough for a teammate to follow.,GAI-039,Deployment guide
GAI-065,Deployment,Add Docker Compose option,Add local Docker Compose setup for PostgreSQL and Streamlit.,Sprint 8,Deployment,Medium,To Do,DevOps Lead,5,Project can run locally with Docker Compose.,"GAI-008,GAI-038",Docker setup
GAI-066,Presentation,Create final demo script,"Write a 5–7 minute demo showing pipeline, map, country analysis, language analysis, sentiment, wow factor, Ask Dataset, translation, and voice.",Sprint 8,Presentation,High,To Do,Product Lead,5,Script is presentation-ready and assigns team speaking roles.,GAI-057,Demo script
GAI-067,Presentation,Create capstone slide outline,"Draft final slide outline: problem, solution, data, architecture, pipeline, dashboard, insights, ethics, and portfolio value.",Sprint 8,Presentation,High,To Do,Product Lead,3,Slide outline supports a complete capstone story.,GAI-066,Slide outline
GAI-068,Polish,Polish visual storytelling,"Improve titles, chart labels, tooltips, insight cards, empty states, and dashboard flow.",Sprint 8,Dashboard,Medium,To Do,Dashboard Lead,5,Dashboard feels top-notch and demo-ready.,GAI-063,Dashboard polish
GAI-069,Stretch,Add embeddings similarity search,Use embeddings to find similar safe conversation summaries.,Stretch,NLP,Low,Backlog,NLP Lead,8,Users can search for conversations similar to a selected safe summary.,"GAI-022,GAI-027",Similarity search
GAI-070,Stretch,Add clustering of countries,Cluster countries based on topic and sentiment similarity.,Stretch,Analytics,Low,Backlog,Data Analyst,8,Dashboard shows country clusters and explains group patterns.,"GAI-030,GAI-045",Country clustering
GAI-071,Stretch,Add automated research report generator,Generate a report-ready summary from dashboard metrics and AI insights.,Stretch,Reporting,Medium,Backlog,Research Lead,8,"Report includes charts, top findings, and ethical limitations.","GAI-037,GAI-040",Report generator
